schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date
1.0,RESEARCH_PAPER,TabSOM: A tabular-to-image encoding method based on self-organizing maps,"David Chushig-Muzo, María Ángeles Rodríguez de Cara, Eva Milara, Francisco J. Lara-Abelenda, Luis Zhinin-Vera, Diego H. Peluffo-Ordóñez",http://arxiv.org/abs/2608.13513v1,,0,2026-08-13T17:35:37Z
1.0,RESEARCH_PAPER,"On the Structural Limits of Machine Learning Decision Systems: An Information-Theoretic, Interaction-Based, and Stochastic-Dynamical Perspective","Nestor R. Barraza, Gabriel Pena",http://arxiv.org/abs/2608.13510v1,,0,2026-08-13T17:34:41Z
1.0,RESEARCH_PAPER,Equivariant learning of a transferable three-dimensional classical density functional,Bingqing Cheng,http://arxiv.org/abs/2608.13506v1,,0,2026-08-13T17:32:45Z
1.0,RESEARCH_PAPER,Intern-S2-Preview: Scientific Agentic Foundation Model,"Lei Bai, Jiaqi Cao, Chiyu Chen, Guanzhou Chen, Kai Chen, Guangran Cheng, Erfei Cui, Xuanlang Dai, Shengyuan Ding, Shangheng Du, Yanhui Duan, Yue Fan, Youqing Fang, Quan Gan, Yuanyuan Gao, Jiaye Ge, Lixin Gu, Yuzhe Gu, Qipeng Guo, Junjun He, Xin Hong, Ming Hu, Zhouqi Hua, Haian Huang, Junhao Huang, Zixian Huang, Minxi Jin, Lingkai Kong, Alexander Lam, Zehao Li, Zonglin Li, Tianhao Liang, Dahua Lin, Junyao Lin, Tianyang Lin, Zhouhan Lin, Jiangning Liu, Jin Liu, Kuikun Liu, Wenran Liu, Yifei Liu, Yuhong Liu, Yuhong Liu, Zhoumianze Liu, Ziyan Liu, Ziyu Liu, Haijun Lv, Han Lv, Chengqi Lyu, Le Ma, Ningsheng Ma, Zerun Ma, Haoyang Peng, Runyu Peng, Jifei Shan, Zixin Shang, Kou Shi, Xiang Shi, Qisheng Su, Xuerui Su, Hao Sun, Xiao Sun, Yanan Sun, Yu Sun, Huanze Tang, Yinghao Tang, Wenhui Tian, Zhongbo Tian, Bingli Wang, Haomin Wang, Jiarui Wang, Jingzhi Wang, Rui Wang, Xiquan Wang, Yi Wang, Zhecan Wang, Ziyi Wang, Zun Wang, Rubin Wei, Lianyi Wu, Wen Wu, Yue Wu, Yuhan Wu, Zhenyu Wu, Zijian Wu, Shuhao Xing, Jun Xu, Xingle Xu, Xuenan Xu, Xiangchao Yan, Ziang Yan, Bowen Yang, Danni Yang, Lin Yang, Zhiqi Yang, Qian Yao, Haochen Ye, Peng Ye, Jinhui Yin, Jiashuo Yu, Dingbo Yuan, Fei Yuan, Yuhang Zang, Bo Zhang, Chao Zhang, Chen Zhang, Hongjie Zhang, Junming Zhang, Wenlong Zhang, Wenwei Zhang, Yiming Zhang, Zhuo Zhang, Ziyang Zhang, Haiteng Zhao, Penghao Zhao, Yibo Zhao, Zhonghan Zhao, Zhihang Zhong, Bowen Zhou, Peiheng Zhou, Xin Zhou, Xinyu Zhou, Yunhua Zhou, Dongsheng Zhu, Yicheng Zou",http://arxiv.org/abs/2608.13505v1,,0,2026-08-13T17:31:28Z
1.0,RESEARCH_PAPER,"Sparse Orthogonal Regression Technique: A Spectral Framework for Equation Discovery, Approximation, and Integration","Sabin Roman, Ljupco Todorovski, Saso Dzeroski",http://arxiv.org/abs/2608.13504v1,,0,2026-08-13T17:31:27Z
1.0,RESEARCH_PAPER,GS$^{2}$CI: Robust Gaussian Splatting For Snapshot Compressive Imaging via Large Vision Model Priors,"Yanming Yang, Chenxi Song, Ping Wang, Xin Yuan, Chi Zhang",http://arxiv.org/abs/2608.13502v1,,0,2026-08-13T17:29:53Z
1.0,RESEARCH_PAPER,TraVEL: Trajectory-Guided Video Embedding Learning for Driving-Video Retrieval,"Yi-Chung Chen, Philip Jacobson, Tom Lampo, Yiren Lu, Jin Yao, David I. Inouye, Jing Gao, Danhua Guo, Burhan Yaman",http://arxiv.org/abs/2608.13495v1,,0,2026-08-13T17:24:23Z
1.0,RESEARCH_PAPER,AlayaWorld: Interactive Long-Horizon World Modeling - Full Technical Report (v1.1),"AlayaWorld Team, Kaipeng Zhang, Chuanhao Li, Yifan Zhan, Yongtao Ge, Yuanyang Yin, Jiaming Tan, Kang He, Liaoyuan Fan, Mingliang Zhai, Ruicong Liu, Xiaojie Xu, Xuangeng Chu, Zhen Li, Zhengyuan Lin, Zhixiang Wang, Zian Meng, Zihui Gao",http://arxiv.org/abs/2608.13492v1,,0,2026-08-13T17:21:03Z
1.0,RESEARCH_PAPER,DreamX-Phi 1.0: Action-Conditioned Video World Model for Robotic Manipulation,"DreamX Team, Rui Chen, Xiangxiang Chu, Geng Li, Jifan Li, Qingfeng Shi, Datao Tang, Jing Tang, Jun Wang, Pengfei Zhang",http://arxiv.org/abs/2608.13489v1,https://github.com/AMAP-ML/DreamX-Ph,0,2026-08-13T17:18:09Z
1.0,RESEARCH_PAPER,Toward a Gricean Retreat: Probing LLMs for Knowledge Boundaries and Referent Specificity,"Dananjay Srinivas, Saksham Khatwani, Maria Pacheco",http://arxiv.org/abs/2608.13484v1,,0,2026-08-13T17:13:41Z
1.0,RESEARCH_PAPER,Synthetic Persona Pretraining: Alignment from Token Zero,"Julian Minder, Viktor Moskvoretskii, Raghav Singhal, Difan Jiao, Andy Arditi, Shaobo Cui, Yiderigun Borjigin, Kartik Bali, Stefan Krsteski, Harsh Raj, Huu Nguyen, Jannik Brinkmann, Ashton Anderson, Roland Aydin, Robert West",http://arxiv.org/abs/2608.13482v1,,0,2026-08-13T17:12:04Z
1.0,RESEARCH_PAPER,MapRoute++: Surrogate-Guided Semantic Routing for Visual Concept Unlearning,"Ashok Urlana, L. D. M. S. Sai Teja, Vivek Hruday Kavuri, Ponnurangam Kumaraguru",http://arxiv.org/abs/2608.13478v1,,0,2026-08-13T17:10:42Z
1.0,RESEARCH_PAPER,MARC v1: An Open-Source Multi-Agent Framework for Clinical AI Reasoning and Coordination,"Saisha Shetty, Satvik Tripathi, Austin Lin, Colin Zhao, Theodore Kim, Don Enwerem, Jacinta Arnold, Shahriar Faghani, Tessa S Cook",http://arxiv.org/abs/2608.13476v1,https://github.com/Penn-RAIL/MARC-v1,3,2026-08-13T17:00:08Z
1.0,RESEARCH_PAPER,AaLLM: An End-to-End Analog Circuit Design Framework from Topology Generation to Sizing Using Large Language Models,"Mohammed Ayman Habib, Rylan Hart, Morteza Fayazi",http://arxiv.org/abs/2608.13472v1,,0,2026-08-13T16:57:07Z
1.0,RESEARCH_PAPER,Active-Trace Complexity Bounds for Moreau--Yosida Unadjusted Langevin Sampling,"Yuchen Xin, Zhihua Zhang",http://arxiv.org/abs/2608.13467v1,,0,2026-08-13T16:47:41Z
1.0,RESEARCH_PAPER,Concept Drift Detection and Adaptive Retraining of Malware Classification Models,"Christofer Washington Berruz Chungata, Martin Jurecek, Katerina Potika, William B. Andreopoulos, Mark Stamp",http://arxiv.org/abs/2608.13465v1,,0,2026-08-13T16:46:56Z
1.0,RESEARCH_PAPER,MLLM-Routed Heterogeneous Ensembles for Robust Cross-Dataset Image Classification,"Daniel Perkins, John Squires, Janou Milligan, Chandra Raskoti, Linda Ungerboeck",http://arxiv.org/abs/2608.13463v1,,0,2026-08-13T16:45:24Z
1.0,RESEARCH_PAPER,Doubly Robust Estimation of Causal Effect on CVR with Targeted Regularization,"Jiayi Dan, Bo Li, Lu Deng, Yong Wang",http://arxiv.org/abs/2608.13461v1,,0,2026-08-13T16:44:08Z
1.0,RESEARCH_PAPER,SNM-VFI: Symmetric Nonlinear Motion-Guided Generative Video Frame Interpolation,"Jisoo Jeong, Hong Cai, Jamie Menjay Lin, Hanno Ackermann, Hyeonjun Sim, Yinhao Zhu, Yunxiao Shi, Fatih Porikli",http://arxiv.org/abs/2608.13460v1,,0,2026-08-13T16:43:49Z
1.0,RESEARCH_PAPER,CAPRI: Contract-Aware Proof Repair for Isabelle,"Jim Woodcock, Gabriel Leite, Augusto Sampaio, Ran Wei",http://arxiv.org/abs/2608.13459v1,,0,2026-08-13T16:43:44Z
1.0,RESEARCH_PAPER,Fine-Grained Action Recognition with Cross-Attentive Latent Sparse Experts,"Imtiaz Ul Hassan, Tasweer Ahmad, Nik Bessis, Ardhendu Behera",http://arxiv.org/abs/2608.13458v1,,0,2026-08-13T16:41:57Z
1.0,RESEARCH_PAPER,Symmetry-Breaking De Novo Crystal Generation via Markovian Jump Diffusion,"Van Khoa Nguyen, Alexandros Kalousis",http://arxiv.org/abs/2608.13457v1,,0,2026-08-13T16:41:48Z
1.0,RESEARCH_PAPER,A Unifying Perspective on Causal World Models: From Observations to Representations to Structure,"Avinash Kori, Fabrizio Russo",http://arxiv.org/abs/2608.13456v1,,0,2026-08-13T16:40:35Z
1.0,RESEARCH_PAPER,Evaluation of Clinically Steerable Retinal Image Generation from Foundation Model Latent Spaces,"Zuzanna A. Wakefield-Skórniewska, Bartłomiej W. Papież",http://arxiv.org/abs/2608.13455v1,,0,2026-08-13T16:40:26Z
1.0,RESEARCH_PAPER,UniTexture: Cross-Task Universal Adversarial Textures for Vision-Language-Action Models,"Yukun Dai, Mingzhe Dai, Tianshi Wang, Fengling Li, Jingjing Li, Lei Zhu",http://arxiv.org/abs/2608.13453v1,,0,2026-08-13T16:38:57Z
1.0,RESEARCH_PAPER,LLM-Assisted Dynamic Threat Analysis for Attacker-Reachable Software Weaknesses in Autonomous Vehicles,"Md Wasiul Haque, Sagar Dasgupta, Mizanur Rahman, Md Rayhanur Rahman",http://arxiv.org/abs/2608.13450v1,,0,2026-08-13T16:33:44Z
1.0,RESEARCH_PAPER,"Academic League of Artificial Intelligence - An Integrative Perspective of Teaching, Research, and Extension","Alison R. Panisson, Maria Eduarda W. M. Vianna, Italo Firmino da Silva, Heitor Henrique da Silva, Rafaela Fernandes Savaris, Bernardo Pandolfi Costa, Martin Augusto Gagliotti Vigil, Jim Lau, Agenor Hentz, Andréa Sabedra Bordin, Alexandre Leopoldo Gonçalves, Roberto Rodrigues-Filho",http://arxiv.org/abs/2608.13447v1,,0,2026-08-13T16:32:44Z
1.0,RESEARCH_PAPER,Edit2TikZ: A Comprehensive and Challenging Benchmark for Scientific Figure Editing with TikZ,"Zongyun Zhang, Jiacheng Ruan, Xian Gao, Ruizhu Zhou, Lingcheng Meng, Lining Hu, Ting Liu, Yuzhuo Fu",http://arxiv.org/abs/2608.13441v1,https://github.com/Solunny/Edit2TikZ,0,2026-08-13T16:27:18Z
1.0,RESEARCH_PAPER,ContactGuard: Pre-Contact Execution Monitoring with Action-Conditioned Latent World Models,"Gehan Zheng, Matthew Johnson-Roberson, Weiming Zhi",http://arxiv.org/abs/2608.13438v1,,0,2026-08-13T16:25:54Z
1.0,RESEARCH_PAPER,Algebraic Decomposition Theory for Transformer Length Generalization,"Andy Yang, Blerta Veseli, Corentin Barloy, Michaël Cadilhac, Andreas Krebs, Charles Paperman, Howard Straubing, Michael Hahn",http://arxiv.org/abs/2608.13433v1,,0,2026-08-13T16:20:56Z
1.0,RESEARCH_PAPER,Are You Sure You're Sure? On the Impact of Instruction Tuning on Confidence and Lexical Diversity,"Irina Proskurina, Mayank Kumar, Oyindolapo O. Komolafe",http://arxiv.org/abs/2608.13430v1,,0,2026-08-13T16:18:45Z
1.0,RESEARCH_PAPER,RAIL: An Automatic Classifier of the Artificial Intelligence Readiness Level,"Juan Irving Vasquez, Juan Terven, Laura-Ivoone Garay-Jimenez",http://arxiv.org/abs/2608.13428v1,,0,2026-08-13T16:17:41Z
1.0,RESEARCH_PAPER,Reduced Matrix Multiplication: Input-Adaptive Matrix-Product Reduction for LLM Inference,"Zixuan Lan, Yanhong Li, Jiawei Zhou",http://arxiv.org/abs/2608.13426v1,,0,2026-08-13T16:16:04Z
1.0,RESEARCH_PAPER,"Motor, Cognitive, or Corpus? What Survives Cross-Lingual Transfer in Speech-Based Parkinsons Disease Detection","Serli Kopar, Sam Gijsen, Abner Hernandez, Paula Andrea Perez-Toro, Kerstin Ritter",http://arxiv.org/abs/2608.13425v1,,0,2026-08-13T16:15:32Z
1.0,RESEARCH_PAPER,Enhancing Virtual Agents through SLMs and Edge-Computing: An Exploratory Evaluation of Think and Memory Processes,"Aimilios Hadjiliasi, Louis Nisiotis",http://arxiv.org/abs/2608.13420v1,,0,2026-08-13T16:12:52Z
1.0,RESEARCH_PAPER,Wasserstein Filtering: A Sample Selection Method for Robust Distribution Learning,"Yikai Xu, Zhao Chen, Jian Huang",http://arxiv.org/abs/2608.13418v1,,0,2026-08-13T16:12:28Z
1.0,RESEARCH_PAPER,Beyond Final Scores: A Systematic Evaluation of Agents for Long-Horizon AI Research and Development,"Yiwei Li, Wanli Yang, Hexiang Tan, Xiangzhou Huang, Zhengyu Chen, Ziran Li, Borun Chen, Shanglin Lei, Huaisheng Zhu, Hao Tian, Fei Sun, Xunliang Cai, Jingang Wang",http://arxiv.org/abs/2608.13417v1,,0,2026-08-13T16:11:22Z
1.0,RESEARCH_PAPER,StreamTTT: Reconciling Real-Time Perception and Long-Term Memory in Streaming VLMs,"Joya Chen, Zeyun Zhong, Mike Zheng Shou",http://arxiv.org/abs/2608.13416v1,,0,2026-08-13T16:10:33Z
1.0,RESEARCH_PAPER,Deliberate Practice: Learning Robot Skills under a Budget,"Shivam Vats, Sudarshan Harithas, Mete Tuluhan Akbulut, Arvind Raghunathan, George Konidaris",http://arxiv.org/abs/2608.13415v1,,0,2026-08-13T16:09:25Z
